intent,question,response,question_normalized,response_length,has_numbers
muscle_gain,How long does it take to see muscle gain?,You may notice increased strength within 2–4 weeks. Visible muscle changes typically appear after 8–12 weeks of consistent training and proper nutrition.,how long does it take to see muscle gain,153,True
muscle_gain,Do I need supplements to build muscle?,"No, supplements are not necessary if your diet is adequate. Protein powder can be convenient to hit protein goals. Creatine monohydrate is the most well-researched supplement for improving strength and muscle gain.",do i need supplements to build muscle,214,False
muscle_gain,What is progressive overload?,"Progressive overload means gradually increasing the demands on your muscles over time — by adding weight, reps, sets, or reducing rest time. It's the key principle behind muscle and strength gains.",what is progressive overload,197,False
muscle_gain,Should I eat before or after a workout for muscle gain?,"Both matter. Eat a protein-rich meal 1–2 hours before your workout for energy, and a protein + carb meal within 1–2 hours after to support muscle recovery and growth.",should i eat before or after a workout for muscle gain,166,True
muscle_gain,Is it okay to train the same muscle every day?,"No, muscles need 48–72 hours to recover. Training the same muscle daily can lead to overtraining and injury. Allow adequate rest between sessions for the same muscle group.",is it okay to train the same muscle every day,172,True
workout_general,How many days a week should I work out?,"The CDC recommends at least 150 minutes of moderate cardio per week plus 2 days of strength training. For general fitness, 3–5 workout days per week is ideal depending on your goals and recovery.",how many days a week should i work out,195,True
workout_general,What is the best workout for beginners?,"Beginners should start with a full-body routine 2–3 days/week focusing on compound movements: squats, deadlifts, push-ups, rows, and lunges. Keep it simple, focus on form, and progress gradually.",what is the best workout for beginners,195,True
workout_general,How long should a workout be?,A typical workout is 45–60 minutes. Quality matters more than duration. Even 30-minute focused sessions are effective. Very long workouts (2+ hours) are rarely necessary for most people.,how long should a workout be,186,True
workout_general,Is it better to work out in the morning or evening?,The best time is whenever you can be consistent. Morning workouts can boost energy and mood for the day. Evening workouts may offer slightly better physical performance. Consistency beats timing.,is it better to work out in the morning or evening,195,False
workout_general,What should I do on rest days?,"Rest days are crucial for recovery. You can do light activities like walking, stretching, yoga, or foam rolling. Avoid intense exercise. Focus on sleep, hydration, and nutrition.",what should i do on rest days,178,False
workout_general,Should I do cardio or weights first?,"For most goals, do weights first when energy is highest, then cardio. If your primary goal is endurance, do cardio first. Alternatively, separate them into different sessions.",should i do cardio or weights first,175,False
workout_general,How do I warm up before a workout?,"Spend 5–10 minutes on dynamic warm-up: light jogging or jumping jacks, leg swings, arm circles, hip rotations, and movement-specific drills. This increases blood flow and reduces injury risk.",how do i warm up before a workout,191,True
workout_general,What is HIIT?,"HIIT (High-Intensity Interval Training) alternates short bursts of intense exercise with brief rest periods. Example: 30 seconds sprint, 30 seconds walk, repeated 10–15 times. It's time-efficient and great for burning calories.",what is hiit,227,True
workout_general,How do I track my fitness progress?,"Track body measurements, photos, strength levels (weights lifted), endurance improvements, energy levels, and how clothes fit. Don't rely solely on the scale, as weight fluctuates daily.",how do i track my fitness progress,186,False
workout_general,Can I work out when I'm sore?,Light exercise and active recovery can help with soreness. Avoid intense training of the same sore muscle group until soreness subsides (usually 24–72 hours). Stretching and foam rolling can help.,can i work out when im sore,196,True
workout_general,What is a superset?,A superset is performing two exercises back-to-back with little or no rest between them. It saves time and increases workout intensity. Example: bicep curls immediately followed by tricep dips.,what is a superset,193,False
workout_general,What does reps and sets mean?,"A 'rep' (repetition) is one complete movement of an exercise. A 'set' is a group of consecutive reps. For example, 3 sets of 10 reps means doing the exercise 10 times, resting, and repeating 3 total times.",what does reps and sets mean,205,True
workout_general,What is a good workout split?,"Popular splits include: Full Body (3x/week), Upper/Lower (4x/week), Push/Pull/Legs (3–6x/week), and Bro Split (5–6x/week, one muscle per day). PPL and Upper/Lower are most recommended for intermediate lifters.",what is a good workout split,209,True
nutrition,What should I eat before a workout?,"Eat a balanced meal 1–2 hours before: complex carbs (oats, banana, rice) + protein (eggs, chicken, Greek yogurt). Avoid high-fat or high-fiber foods right before as they can cause discomfort.",what should i eat before a workout,191,True
nutrition,What should I eat after a workout?,"Post-workout: prioritize protein (20–40g) to repair muscles and carbs to replenish glycogen. Examples: chicken + rice, protein shake + banana, Greek yogurt + fruit.",what should i eat after a workout,164,True
nutrition,How much water should I drink a day?,"A common guideline is 8 cups (2 liters) per day, but active individuals need more. Aim for 0.5–1 oz per pound of body weight. Drink more in hot weather or during intense exercise.",how much water should i drink a day,179,True
nutrition,Is a high-protein diet safe?,"Yes, high-protein diets are generally safe for healthy individuals. They support muscle growth, reduce hunger, and aid fat loss. Aim for 0.7–1g per pound of body weight. People with kidney disease should consult a doctor.",is a highprotein diet safe,221,True
nutrition,What are macros?,"Macros (macronutrients) are the three main nutrients your body needs in large amounts: Protein (4 cal/g), Carbohydrates (4 cal/g), and Fat (9 cal/g). Tracking macros helps optimize body composition and performance.",what are macros,214,True
nutrition,Should I avoid carbs to lose weight?,"No, carbs are not inherently bad. Reducing refined carbs (white bread, sugar, soda) is helpful, but complex carbs (oats, sweet potato, rice, fruits) provide important energy and nutrients. Balance is key.",should i avoid carbs to lose weight,204,False
nutrition,What are good sources of protein?,"Animal: chicken breast, turkey, eggs, tuna, salmon, cottage cheese, Greek yogurt. Plant-based: lentils, chickpeas, tofu, tempeh, edamame, quinoa, and pea protein.",what are good sources of protein,162,False
nutrition,Is breakfast important for fitness?,"Breakfast isn't mandatory but can help with energy levels and managing hunger throughout the day. If you exercise in the morning, a pre-workout meal with protein and carbs can improve performance.",is breakfast important for fitness,196,False
nutrition,What is a calorie deficit?,"A calorie deficit occurs when you consume fewer calories than your body burns. It's required for fat/weight loss. A deficit of 300–500 calories/day leads to a safe, sustainable loss of 0.5–1 lb per week.",what is a calorie deficit,203,True
nutrition,Are cheat meals okay?,"Yes, occasional cheat meals can help with adherence to a diet plan. They shouldn't derail progress if done in moderation (once a week). Avoid 'cheat days' where thousands of extra calories are consumed.",are cheat meals okay,202,False
nutrition,What is clean eating?,"Clean eating focuses on whole, minimally processed foods like vegetables, fruits, lean proteins, whole grains, and healthy fats — while minimizing processed foods, added sugar, and artificial ingredients.",what is clean eating,204,False
nutrition,How do I count calories?,Use a food tracking app like MyFitnessPal or Cronometer. Weigh your food with a kitchen scale for accuracy. Log everything you eat and drink. This helps you understand your intake and make adjustments.,how do i count calories,201,False
cardio,What is the best cardio exercise?,"The best cardio is one you enjoy and will stick to. Popular options: running, cycling, swimming, rowing, jump rope, and dancing. For fat loss, a mix of steady-state and HIIT is very effective.",what is the best cardio exercise,192,False
cardio,How long should I do cardio?,For general health: 150 min/week of moderate cardio or 75 min/week of vigorous cardio (WHO guidelines). For weight loss: 200–300 min/week is more effective. Sessions can be 20–60 minutes.,how long should i do cardio,187,True
cardio,Does running help lose weight?,"Yes, running is an effective calorie-burning exercise. A 150 lb person burns roughly 300–400 calories in 30 minutes of running. Combined with a healthy diet, it significantly supports weight loss.",does running help lose weight,196,True
cardio,What is the fat-burning zone?,"The fat-burning zone is moderate-intensity cardio (60–70% of max heart rate) where fat is the primary fuel source. However, higher intensity cardio burns more total calories and is often more effective for weight loss overall.",what is the fatburning zone,226,True
cardio,How do I calculate my max heart rate?,"A simple formula: 220 minus your age. For a 30-year-old, max HR ≈ 190 bpm. Target zones: 60–70% for fat burn (~114–133 bpm), 70–85% for cardio fitness (~133–162 bpm).",how do i calculate my max heart rate,166,True
cardio,Is walking enough exercise?,"Yes! Walking is highly underrated. Brisk walking (3–4 mph) burns calories, improves heart health, reduces stress, and supports weight management. Aim for 7,000–10,000 steps/day.",is walking enough exercise,177,True
cardio,What is Zone 2 cardio?,"Zone 2 is low-to-moderate intensity cardio (60–70% max HR) where you can hold a conversation. It improves aerobic base, fat oxidation, and cardiovascular health. Great for long-term endurance and recovery.",what is zone 2 cardio,205,True
flexibility_mobility,Why is stretching important?,"Stretching improves flexibility, posture, and range of motion. It reduces muscle tension, prevents injury, and can aid in recovery after workouts. Include both dynamic (pre-workout) and static (post-workout) stretching.",why is stretching important,219,False
flexibility_mobility,What is the difference between flexibility and mobility?,Flexibility is the ability of a muscle to lengthen passively. Mobility is the ability to move a joint actively through its full range of motion with control. Both are important for injury prevention and performance.,what is the difference between flexibility and mobility,215,False
flexibility_mobility,How often should I stretch?,"Stretch at least 2–3 times per week for flexibility improvements. Ideally, do dynamic stretching before workouts and static stretching after. Even 5–10 minutes daily makes a significant difference over time.",how often should i stretch,207,True
flexibility_mobility,What is foam rolling?,"Foam rolling is a self-myofascial release technique using a foam cylinder to massage muscles and fascia. It reduces muscle soreness, improves blood flow, and increases flexibility. Roll slowly over tight areas for 30–60 seconds.",what is foam rolling,228,True
flexibility_mobility,Can yoga replace strength training?,"Yoga improves flexibility, mobility, balance, and body awareness, but does not provide the same stimulus for muscle hypertrophy as progressive resistance training. They complement each other well.",can yoga replace strength training,196,False
sleep_recovery,How important is sleep for fitness?,"Sleep is crucial for muscle recovery, hormone regulation (testosterone, growth hormone), performance, and fat loss. Lack of sleep increases cortisol, impairs recovery, reduces motivation, and can cause muscle loss.",how important is sleep for fitness,214,False
sleep_recovery,How many hours of sleep do I need?,"Most adults need 7–9 hours of sleep per night. Athletes or those with intense training may benefit from 8–10 hours. Prioritize sleep quality by maintaining a consistent schedule and a cool, dark environment.",how many hours of sleep do i need,207,True
sleep_recovery,What helps muscle recovery after a workout?,"Key recovery strategies: adequate protein intake, quality sleep, staying hydrated, light active recovery (walking/stretching), foam rolling, and managing stress. Cold or contrast water therapy may also help.",what helps muscle recovery after a workout,207,False
sleep_recovery,What is overtraining syndrome?,"Overtraining occurs when training volume/intensity exceeds the body's ability to recover. Symptoms include persistent fatigue, decreased performance, mood changes, increased injury risk, and poor sleep. Rest and reduced training volume are the remedy.",what is overtraining syndrome,251,False
sleep_recovery,How do I know if I'm overtraining?,"Signs include: persistent muscle soreness, declining performance, constant fatigue, irritability, disrupted sleep, increased resting heart rate, and frequent illness. Take a deload week and prioritize recovery.",how do i know if im overtraining,210,False
supplements,Should I take protein powder?,"Protein powder is a convenient supplement to help meet daily protein goals. It's not essential if you get enough from whole foods, but it's a practical option post-workout or when on the go. Whey, casein, and plant-based options all work.",should i take protein powder,238,False
supplements,What is creatine and should I take it?,"Creatine monohydrate is one of the most researched and effective supplements. It increases ATP production, supporting short bursts of high-intensity activity, strength gains, and muscle growth. 3–5g/day is the standard dose. Safe for most people.",what is creatine and should i take it,246,True
supplements,Do fat burner supplements work?,Most fat burner supplements have limited evidence and can have side effects. The main active ingredient in many is caffeine. No supplement replaces a proper diet and exercise plan for fat loss.,do fat burner supplements work,193,False
supplements,What is pre-workout?,"Pre-workout supplements typically contain caffeine, beta-alanine, citrulline, and other ingredients to boost energy, focus, and performance. They can be effective but are not necessary. Coffee is a natural alternative.",what is preworkout,218,False
supplements,Do I need BCAAs?,"BCAAs (Branched-Chain Amino Acids) are beneficial mainly if you train fasted or don't get enough total protein. If you eat adequate protein throughout the day, BCAAs offer minimal additional benefit.",do i need bcaas,199,False
supplements,What vitamins are important for fitness?,"Key vitamins and minerals for fitness: Vitamin D (muscle function, immune health), Magnesium (muscle recovery, sleep), Vitamin C (immune health, collagen), Zinc (testosterone, immune), and B vitamins (energy metabolism). Get these from food first.",what vitamins are important for fitness,247,False
injury_prevention,How do I prevent workout injuries?,"Warm up properly, use correct form, progress gradually (don't increase weight/volume too quickly), prioritize recovery and sleep, stay hydrated, wear appropriate footwear, and listen to your body.",how do i prevent workout injuries,196,False
injury_prevention,What should I do if I get injured?,"Follow RICE: Rest, Ice, Compression, Elevation. Avoid training the injured area. For serious or persistent pain, consult a doctor or physiotherapist. Don't train through sharp or joint pain.",what should i do if i get injured,190,False
injury_prevention,How do I avoid lower back pain when lifting?,"Maintain a neutral spine, brace your core, avoid rounding your back during lifts, start with lighter weights to master form, and gradually increase load. Strengthen your core and glutes to support the lower back.",how do i avoid lower back pain when lifting,212,False
injury_prevention,Is it normal to feel sore after working out?,"Yes, delayed onset muscle soreness (DOMS) is normal, especially after new or intense exercise. It peaks 24–72 hours post-workout. It indicates muscle adaptation. Severe or sharp pain is not normal and may signal injury.",is it normal to feel sore after working out,219,True
injury_prevention,Can I work out with knee pain?,"Mild discomfort may be manageable, but sharp or persistent knee pain warrants rest and medical evaluation. Low-impact activities like swimming or cycling may be alternatives. Strengthen glutes and quads to reduce knee stress.",can i work out with knee pain,225,False
body_composition,What is BMI?,"BMI (Body Mass Index) is a simple calculation using height and weight (kg/m²). It categorizes weight as underweight (<18.5), normal (18.5–24.9), overweight (25–29.9), or obese (30+). It's a rough indicator and doesn't account for muscle mass.",what is bmi,242,True
body_composition,What is body fat percentage?,"Body fat percentage is the proportion of fat mass to total body weight. Healthy ranges: Men: 10–20%, Women: 18–28%. Athletes are often lower. High body fat increases health risks; too low can also be problematic.",what is body fat percentage,212,True
body_composition,How do I measure body fat?,"Methods include: DEXA scan (most accurate), hydrostatic weighing, skinfold calipers, bioelectrical impedance (body fat scales), and visual estimation. DEXA is the gold standard but expensive; calipers are affordable and reasonably accurate.",how do i measure body fat,240,False
body_composition,What is the difference between weight loss and fat loss?,"Weight loss refers to a reduction in total body weight (fat, muscle, water). Fat loss specifically targets fat while preserving muscle. Fat loss with muscle preservation is the healthier goal, achieved through high protein intake and strength training.",what is the difference between weight loss and fat loss,252,False
motivation,How do I stay motivated to exercise?,"Set clear, specific goals. Track your progress. Find activities you enjoy. Work out with a friend or join a class. Celebrate small wins. Build a routine so exercise becomes a habit rather than a choice.",how do i stay motivated to exercise,202,False
motivation,I keep skipping workouts. What should I do?,Start smaller — a 10-minute workout is better than none. Schedule workouts like appointments. Remove friction (lay out your gear the night before). Identify your 'why' and keep it visible. Consider accountability partners or a coach.,i keep skipping workouts what should i do,233,True
motivation,How long until I see fitness results?,"You may feel better (more energy, better mood) within 1–2 weeks. Visible body changes typically take 4–8 weeks. Significant transformations take 3–6 months of consistent effort. Patience and consistency are key.",how long until i see fitness results,211,True
motivation,How do I get back on track after a break?,Start slow — don't try to match your previous level immediately. Expect some soreness. Focus on rebuilding the habit first. Be kind to yourself and avoid all-or-nothing thinking. Progress will come back faster than the first time.,how do i get back on track after a break,230,False
goal_setting,How do I set fitness goals?,"Use the SMART framework: Specific, Measurable, Achievable, Relevant, Time-bound. Example: 'I will lose 10 lbs in 12 weeks by exercising 4x/week and eating 1,800 calories/day' is better than 'I want to lose weight.'",how do i set fitness goals,214,True
goal_setting,Should I focus on weight loss or fitness first?,"They can go hand in hand. Start with building consistent exercise habits and improving nutrition. As fitness improves, body composition often improves naturally. Focus on sustainable lifestyle changes over quick fixes.",should i focus on weight loss or fitness first,218,False
goal_setting,What is a realistic amount of weight to lose per month?,"A safe and sustainable rate is 1–2 lbs per week, or roughly 4–8 lbs per month. Faster loss often includes muscle loss. Sustainable loss requires a manageable calorie deficit and adequate protein.",what is a realistic amount of weight to lose per month,195,True
specific_populations,Can older adults exercise?,"Absolutely! Exercise is vital for older adults. Focus on strength training (to prevent muscle loss), balance exercises (to prevent falls), flexibility, and low-impact cardio. Always consult a doctor before starting a new program.",can older adults exercise,229,False
specific_populations,Is it safe to exercise during pregnancy?,"For most healthy pregnancies, moderate exercise is safe and beneficial. Walking, swimming, and prenatal yoga are great options. Avoid contact sports, heavy lifting, and lying flat on your back after the first trimester. Always consult your OB.",is it safe to exercise during pregnancy,243,False
specific_populations,Can teenagers lift weights?,"Yes, strength training is safe and beneficial for teens when done with proper form, appropriate weight, and supervision. It supports bone density, posture, and athletic performance. Focus on bodyweight and technique first.",can teenagers lift weights,222,False
specific_populations,How do I exercise with a busy schedule?,"Even 20–30 minutes of focused exercise is effective. Try: lunchtime walks, home workouts, short HIIT sessions, or splitting workouts into 10-minute blocks. Consistency over duration always wins.",how do i exercise with a busy schedule,194,True
miscellaneous,What is metabolism?,"Metabolism is the process by which your body converts food and drink into energy. Basal Metabolic Rate (BMR) is the calories burned at rest. Factors affecting metabolism include age, muscle mass, genetics, and activity level.",what is metabolism,225,False
miscellaneous,Does muscle weigh more than fat?,"A pound of muscle weighs the same as a pound of fat, but muscle is denser and takes up less space. This is why two people at the same weight can look very different based on body composition.",does muscle weigh more than fat,191,False
miscellaneous,What is the best diet for fitness?,"There's no single 'best' diet. The most effective diet is one you can sustain. Focus on: adequate protein, whole foods, plenty of vegetables and fruits, healthy fats, and complex carbs. Minimize processed food and added sugar.",what is the best diet for fitness,226,False
miscellaneous,Can I lose weight just by drinking more water?,"Water alone won't cause weight loss, but it helps. Drinking water before meals reduces hunger, replaces caloric beverages, supports metabolism, and aids in exercise performance and recovery.",can i lose weight just by drinking more water,190,False
miscellaneous,Is it okay to eat at night?,"Yes, total daily calorie intake matters more than meal timing. However, late-night eating often leads to overeating. If you're hungry at night, choose a small, protein-rich snack. Avoid large, calorie-dense meals before bed.",is it okay to eat at night,224,False
miscellaneous,What is the mind-muscle connection?,"The mind-muscle connection is the practice of consciously focusing on and contracting the target muscle during exercise. Research shows this can enhance muscle activation and improve training results, especially for isolation exercises.",what is the mindmuscle connection,236,False
miscellaneous,What are compound exercises?,"Compound exercises work multiple muscle groups simultaneously. Examples: squat (quads, glutes, core), deadlift (hamstrings, back, core), bench press (chest, shoulders, triceps), pull-up (back, biceps). They are the foundation of effective training.",what are compound exercises,248,False
miscellaneous,What are isolation exercises?,"Isolation exercises target a single muscle group. Examples: bicep curls, tricep extensions, leg curls, lateral raises. They complement compound movements to address weaker muscles or aesthetic goals.",what are isolation exercises,199,False
miscellaneous,How do I get a six-pack?,"Abs are built in the gym and revealed in the kitchen. You need low enough body fat (typically under 15% for men, under 20% for women) to see them, combined with core-strengthening exercises like planks, leg raises, and crunches.",how do i get a sixpack,228,True
miscellaneous,What is the difference between aerobic and anaerobic exercise?,"Aerobic exercise uses oxygen for energy and is sustained over longer periods (running, cycling, swimming). Anaerobic exercise doesn't rely on oxygen and involves short, intense bursts (sprinting, weightlifting). Both are important for fitness.",what is the difference between aerobic and anaerobic exercise,243,False
weight_loss,How to lose weight?,"Weight loss comes down to a calorie deficit — burning more calories than you consume. Combine a balanced diet with regular cardio and strength training, stay hydrated, get enough sleep, and be consistent. Aim for a sustainable deficit of 300–500 calories/day.",how to lose weight,259,True
weight_loss,Best way to reduce fat,"Weight loss comes down to a calorie deficit — burning more calories than you consume. Combine a balanced diet with regular cardio and strength training, stay hydrated, get enough sleep, and be consistent. Aim for a sustainable deficit of 300–500 calories/day.",best way to reduce fat,259,True
weight_loss,How to slim down fast?,"Weight loss comes down to a calorie deficit — burning more calories than you consume. Combine a balanced diet with regular cardio and strength training, stay hydrated, get enough sleep, and be consistent. Aim for a sustainable deficit of 300–500 calories/day.",how to slim down fast,259,True
weight_loss,Exercises for belly fat,"Weight loss comes down to a calorie deficit — burning more calories than you consume. Combine a balanced diet with regular cardio and strength training, stay hydrated, get enough sleep, and be consistent. Aim for a sustainable deficit of 300–500 calories/day.",exercises for belly fat,259,True
weight_loss,Diet for weight loss,"Weight loss comes down to a calorie deficit — burning more calories than you consume. Combine a balanced diet with regular cardio and strength training, stay hydrated, get enough sleep, and be consistent. Aim for a sustainable deficit of 300–500 calories/day.",diet for weight loss,259,True
muscle_gain,How to gain muscle?,"To build muscle, progressively overload your muscles through resistance training, eat enough protein (0.7–1g per pound of body weight), eat in a slight calorie surplus, sleep 7–9 hours, and stay consistent. Progressive overload is key to muscle and strength gains.",how to gain muscle,264,True
muscle_gain,Best protein for muscle growth,"To build muscle, progressively overload your muscles through resistance training, eat enough protein (0.7–1g per pound of body weight), eat in a slight calorie surplus, sleep 7–9 hours, and stay consistent. Progressive overload is key to muscle and strength gains.",best protein for muscle growth,264,True
muscle_gain,Workout plan for bulking,"To build muscle, progressively overload your muscles through resistance training, eat enough protein (0.7–1g per pound of body weight), eat in a slight calorie surplus, sleep 7–9 hours, and stay consistent. Progressive overload is key to muscle and strength gains.",workout plan for bulking,264,True
muscle_gain,How many reps for muscle building?,"To build muscle, progressively overload your muscles through resistance training, eat enough protein (0.7–1g per pound of body weight), eat in a slight calorie surplus, sleep 7–9 hours, and stay consistent. Progressive overload is key to muscle and strength gains.",how many reps for muscle building,264,True
muscle_gain,High protein diet plan,"To build muscle, progressively overload your muscles through resistance training, eat enough protein (0.7–1g per pound of body weight), eat in a slight calorie surplus, sleep 7–9 hours, and stay consistent. Progressive overload is key to muscle and strength gains.",high protein diet plan,264,True
bmi_calculation,Calculate my BMI,"BMI = weight (kg) / height (m)². For example: 70 kg / (1.75 m)² = 22.9 BMI. Categories: under 18.5 = underweight, 18.5-24.9 = normal, 25-29.9 = overweight, 30+ = obese. Note: BMI doesn't account for muscle mass.",calculate my bmi,211,True
bmi_calculation,Is my BMI normal?,"BMI = weight (kg) / height (m)². For example: 70 kg / (1.75 m)² = 22.9 BMI. Categories: under 18.5 = underweight, 18.5-24.9 = normal, 25-29.9 = overweight, 30+ = obese. Note: BMI doesn't account for muscle mass.",is my bmi normal,211,True
bmi_calculation,BMI formula,"BMI = weight (kg) / height (m)². For example: 70 kg / (1.75 m)² = 22.9 BMI. Categories: under 18.5 = underweight, 18.5-24.9 = normal, 25-29.9 = overweight, 30+ = obese. Note: BMI doesn't account for muscle mass.",bmi formula,211,True
bmi_calculation,Healthy BMI range,"BMI = weight (kg) / height (m)². For example: 70 kg / (1.75 m)² = 22.9 BMI. Categories: under 18.5 = underweight, 18.5-24.9 = normal, 25-29.9 = overweight, 30+ = obese. Note: BMI doesn't account for muscle mass.",healthy bmi range,211,True
calorie_calculation,How many calories do I need?,"Calculate your TDEE using your age, weight, height, gender, and activity level. For weight loss, subtract 300-500 calories. For muscle gain, add 300-500 calories. Use online TDEE calculators or consult a nutritionist for personalized recommendations.",how many calories do i need,250,True
calorie_calculation,Daily calorie requirement,"Calculate your TDEE using your age, weight, height, gender, and activity level. For weight loss, subtract 300-500 calories. For muscle gain, add 300-500 calories. Use online TDEE calculators or consult a nutritionist for personalized recommendations.",daily calorie requirement,250,True
calorie_calculation,Calorie deficit meaning,"Calculate your TDEE using your age, weight, height, gender, and activity level. For weight loss, subtract 300-500 calories. For muscle gain, add 300-500 calories. Use online TDEE calculators or consult a nutritionist for personalized recommendations.",calorie deficit meaning,250,True
calorie_calculation,Calories for weight loss,"Calculate your TDEE using your age, weight, height, gender, and activity level. For weight loss, subtract 300-500 calories. For muscle gain, add 300-500 calories. Use online TDEE calculators or consult a nutritionist for personalized recommendations.",calories for weight loss,250,True
calorie_calculation,Maintenance calories,"Calculate your TDEE using your age, weight, height, gender, and activity level. For weight loss, subtract 300-500 calories. For muscle gain, add 300-500 calories. Use online TDEE calculators or consult a nutritionist for personalized recommendations.",maintenance calories,250,True
general_health,How much water should I drink daily?,"Good health requires balanced nutrition, regular physical activity (150+ min/week), adequate sleep (7-9 hours), stress management, hydration, and avoiding harmful habits. Preventive care, regular check-ups, and healthy lifestyle choices support long-term wellness.",how much water should i drink daily,264,True
general_health,How many steps per day?,"Good health requires balanced nutrition, regular physical activity (150+ min/week), adequate sleep (7-9 hours), stress management, hydration, and avoiding harmful habits. Preventive care, regular check-ups, and healthy lifestyle choices support long-term wellness.",how many steps per day,264,True
general_health,How much sleep is required?,"Good health requires balanced nutrition, regular physical activity (150+ min/week), adequate sleep (7-9 hours), stress management, hydration, and avoiding harmful habits. Preventive care, regular check-ups, and healthy lifestyle choices support long-term wellness.",how much sleep is required,264,True
general_health,How to improve stamina?,"Good health requires balanced nutrition, regular physical activity (150+ min/week), adequate sleep (7-9 hours), stress management, hydration, and avoiding harmful habits. Preventive care, regular check-ups, and healthy lifestyle choices support long-term wellness.",how to improve stamina,264,True
food_nutrition_query,Calories in Hot tea (Garam Chai)?,"For detailed nutritional information about Hot tea (Garam Chai), check our food database which has calories, protein, carbs, fats, fiber, sodium, calcium, iron, and vitamin content per 100g serving. Ask me: 'calories in [food name]' or 'protein in [food name]' for specific data.",calories in hot tea garam chai,279,True
food_nutrition_query,Is Hot tea (Garam Chai) healthy?,"For detailed nutritional information about Hot tea (Garam Chai), check our food database which has calories, protein, carbs, fats, fiber, sodium, calcium, iron, and vitamin content per 100g serving. Ask me: 'calories in [food name]' or 'protein in [food name]' for specific data.",is hot tea garam chai healthy,279,True
