AID,AName,English_Name,Description,Benefits,Contraindications,Breathing,Level,Hold_Duration_sec,Focus_Area,category,good_for_beginners,duration_minutes,search_keywords,YouTube_Link
11,Dhanurasana,Bow Pose,"Lie prone, bend knees and reach back to hold ankles. Inhale and lift chest and thighs simultaneously, rocking on the abdomen.",Opens chest and hip flexors; strengthens back; improves posture; massages abdominal organs.,"Back injury, neck injury, high blood pressure.",Inhale to lift; exhale to hold.,Intermediate,20,"Backbend, chest opening",Backbend,False,0.3,"chest | abdominal | improves | strengthens | bow pose | posture | back | backbend, chest opening | opens | organs | flexors | dhanurasana | massages | backbend | intermediate",https://www.youtube.com/watch?v=QRDHdMnD4oE
12,Dhyana Mudra,Meditation Pose,"Sit comfortably in Sukhasana or Padmasana. Place hands in your lap, palms up, with thumbs touching forefingers.",Promotes inner calm; enhances concentration; deepens meditation practice.,None specific.,Breathe deeply and evenly.,Beginner,300,"Meditation, breath",Meditation,True,5.0,"inner | beginner | dhyana mudra | meditation, breath | enhances | calm | concentration | promotes | practice | meditation | deepens | meditation pose",https://www.youtube.com/results?search_query=Dhyana+Mudra
13,Eka Pada Rajakapotasana,One-Legged King Pigeon Pose,"From hands and knees, bring one knee forward behind the wrist, extend the other leg back. Square hips and fold forward or lift into full backbend.",Deep hip flexor and piriformis stretch; opens chest and shoulders; calms nervous system.,Hip or knee injuries.,Inhale to open; exhale to deepen.,Intermediate,60,"Hip opening, flexibility",Flexibility,False,1.0,"chest | intermediate | stretch | piriformis | system | flexor | flexibility | opens | hip opening, flexibility | deep | nervous | eka pada rajakapotasana | one-legged king pigeon pose | shoulders | calms",https://www.youtube.com/results?search_query=Eka+Pada+Rajakapotasana
14,Garudasana,Eagle Pose,"Stand on one leg, wrap the other thigh over it and hook foot behind calf. Wrap arms, one under the other, and bring palms together.",Improves balance and concentration; stretches shoulders and upper back; strengthens ankles and calves.,"Balance issues, knee injuries.",Focus on balance and gaze.,Intermediate,20,"Balance, upper body",Balance,False,0.3,"calves | improves | stretches | upper | balance, upper body | strengthens | balance | concentration | back | eagle pose | ankles | garudasana | intermediate | shoulders",https://www.youtube.com/results?search_query=Garudasana
15,Gomukhasana,Cow Face Pose,"Sit with legs stacked. Stack knees and raise one arm overhead bending at elbow, bring the other arm behind back to clasp hands.","Stretches shoulders, chest, and hips; improves posture; relieves tension in the upper back.",Shoulder or knee injuries.,Inhale to lengthen; exhale to bind.,Intermediate,30,"Shoulder stretch, hips",Flexibility,False,0.5,"chest | relieves | stretches | improves | upper | posture | tension | back | flexibility | shoulder stretch, hips | cow face pose | gomukhasana | hips | intermediate | shoulders",https://www.youtube.com/results?search_query=Gomukhasana
16,Halasana,Plow Pose,"From Shoulderstand, lower both feet to the floor behind your head. Support lower back with hands.",Stretches spine and shoulders; calms the nervous system; stimulates thyroid and abdominal organs.,"Neck injury, high blood pressure, pregnancy.",Breathe deeply.,Advanced,30,"Inversion, spine",Inversion,False,0.5,"plow pose | abdominal | inversion, spine | advanced | inversion | stretches | system | thyroid | organs | stimulates | spine | nervous | halasana | shoulders | calms",https://www.youtube.com/results?search_query=Halasana
17,Janu Sirsasana,Head-to-Knee Forward Bend,"Sit with one leg extended, other knee bent foot to inner thigh. Inhale to lengthen, exhale to fold over straight leg.",Stretches hamstrings and back; calms mind; relieves anxiety and fatigue.,Back or hamstring injuries.,Inhale to lengthen; exhale to fold.,Beginner,30,"Hamstrings, forward bend",Flexibility,True,0.5,"beginner | hamstrings | relieves | stretches | hamstrings, forward bend | back | flexibility | fatigue | janu sirsasana | head-to-knee forward bend | mind | anxiety | calms",https://www.youtube.com/results?search_query=Janu+Sirsasana
18,Jathara Parivartanasana,Revolved Abdomen Pose,"Lie on back with knees drawn to chest. Drop knees to one side, extending arms to sides. Turn head opposite direction.",Strengthens abdominal muscles; improves spinal mobility; massages internal organs.,Spinal injuries.,Inhale to prepare; exhale to twist.,Beginner,30,"Spine, core, twist",Core,True,0.5,"beginner | abdominal | spine, core, twist | improves | strengthens | revolved abdomen pose | mobility | organs | core | spinal | muscles | massages | jathara parivartanasana | internal",https://www.youtube.com/results?search_query=Jathara+Parivartanasana
19,Kapotasana,Full Pigeon Pose,"From kneeling, arch back and reach arms overhead to clasp ankles or feet on the floor behind. Advanced backbend.",Deep hip flexor stretch; opens chest and shoulders; improves spinal flexibility.,"Knee or hip injuries, back injuries.",Inhale to open; exhale to deepen.,Advanced,20,"Deep backbend, hips",Backbend,False,0.3,"chest | stretch | advanced | kapotasana | improves | flexor | flexibility | opens | spinal | full pigeon pose | deep | backbend | shoulders | deep backbend, hips",https://www.youtube.com/results?search_query=Kapotasana
20,Konasana,Angle Pose,"Stand with feet wide apart. Raise one arm overhead while bending sideways, keeping both feet grounded.",Stretches spine and sides; improves lateral flexibility; strengthens legs.,Spinal injury.,Inhale to lengthen; exhale to bend.,Beginner,20,"Lateral stretch, flexibility",Flexibility,True,0.3,"konasana | beginner | stretches | improves | strengthens | legs | flexibility | lateral | spine | sides | angle pose | lateral stretch, flexibility",https://www.youtube.com/results?search_query=Konasana
21,Malasana,Garland Pose / Yoga Squat,"Stand with feet wider than hip-width, toes out. Lower into a deep squat bringing hands to prayer in front of chest.",Opens hips and groin; stretches back and ankles; strengthens legs; aids digestion.,Knee injuries.,Breathe steadily.,Beginner,30,"Hip opening, squat",Flexibility,True,0.5,"beginner | aids | stretches | strengthens | legs | back | flexibility | opens | garland pose / yoga squat | malasana | groin | ankles | digestion | hip opening, squat | hips",https://www.youtube.com/results?search_query=Malasana
22,Marjaryasana-Bitilasana,Cat-Cow Pose,"On all fours, alternate arching spine up (cat) and dipping belly down with head up (cow), coordinating with breath.",Improves spinal flexibility and mobility; warms up the spine; relieves back tension; connects breath to movement.,Neck or back injury.,Inhale for Cow (belly drop); exhale for Cat (spine arch).,Beginner,60,"Spine mobility, warm-up",General,True,1.0,"beginner | relieves | marjaryasana-bitilasana | improves | connects | general | tension | mobility | back | flexibility | spinal | warms | spine | cat-cow pose | spine mobility, warm-up",https://www.youtube.com/results?search_query=Marjaryasana-Bitilasana
23,Matsyasana,Fish Pose,"Lie on back with legs straight. Arch back, lift chest and tilt head back to crown on floor. Arms by sides or crossed under chest.",Opens chest and throat; stretches hip flexors; stimulates abdominal organs and thyroid; relieves tension.,Neck or back injury.,Inhale to open chest; exhale to hold.,Beginner,20,"Chest opening, backbend",Backbend,True,0.3,"chest | beginner | abdominal | relieves | stretches | thyroid | organs | opens | stimulates | flexors | matsyasana | backbend | chest opening, backbend | fish pose | throat",https://www.youtube.com/results?search_query=Matsyasana
24,Mayurasana,Peacock Pose,"Balance entire body horizontally on hands with elbows pressed into abdomen, legs extended straight back.","Strengthens wrists, arms, and core; improves concentration; stimulates digestion.","Wrist or elbow injuries, pregnancy.",Breathe steadily.,Advanced,5,"Arm balance, core strength",Balance,False,0.1,"mayurasana | arm balance, core strength | advanced | improves | strengthens | balance | concentration | core | stimulates | digestion | peacock pose | wrists | arms",https://www.youtube.com/results?search_query=Mayurasana
25,Natarajasana,Lord of the Dance Pose,"Stand on one leg, bend other knee and reach back to hold the ankle. Tip forward and extend the raised leg back and up.",Improves balance and concentration; stretches hip flexors and quadriceps; strengthens legs.,"Back or knee injuries, balance issues.",Inhale to balance; exhale to hold.,Advanced,10,"Balance, flexibility",Balance,False,0.2,"advanced | natarajasana | improves | stretches | quadriceps | strengthens | legs | balance | concentration | flexors | lord of the dance pose | balance, flexibility",https://www.youtube.com/results?search_query=Natarajasana
26,Navasana,Boat Pose,"Sit with knees bent, lean back slightly and lift feet off floor so shins are parallel to floor. Extend arms forward at shoulder height.","Strengthens core, hip flexors, and spine; improves balance; stimulates kidneys and thyroid.","Low back pain, neck injury, asthma.",Inhale to lift; exhale to hold.,Intermediate,20,"Core strength, balance",Balance,False,0.3,"boat pose | improves | strengthens | thyroid | kidneys | balance | navasana | core | stimulates | flexors | spine | core strength, balance | intermediate",https://www.youtube.com/results?search_query=Navasana
27,Padmasana,Lotus Pose,"Sit cross-legged and place each foot on the opposite thigh, soles facing up. Spine tall and hands on knees.",Opens hips; improves posture; calms the mind; ideal meditation seat.,Knee or ankle injuries.,Breathe deeply and evenly.,Intermediate,300,"Hip opening, meditation",Flexibility,False,5.0,"improves | posture | padmasana | flexibility | opens | lotus pose | ideal | hip opening, meditation | meditation | seat | hips | intermediate | mind | calms",https://www.youtube.com/results?search_query=Padmasana
28,Parivrtta Parsvakonasana,Revolved Side Angle Pose,"From Warrior I, twist torso so opposite elbow hooks outside front knee. Extend top arm overhead in line with ear.",Strengthens legs and core; improves spinal rotation; opens chest; aids digestion.,"Spinal injuries, balance issues.",Inhale to lengthen; exhale to twist.,Advanced,15,"Twist, strength",Strength,False,0.2,"chest | aids | advanced | improves | twist, strength | strengthens | legs | core | spinal | opens | digestion | strength | rotation | parivrtta parsvakonasana | revolved side angle pose",https://www.youtube.com/results?search_query=Parivrtta+Parsvakonasana
29,Parivrtta Trikonasana,Revolved Triangle Pose,"From standing, step feet apart. Rotate opposite hand to front foot. Extend other arm up, twisting torso open.",Strengthens legs and core; improves spinal mobility; opens chest; calms the mind.,"Spinal injuries, balance issues.",Inhale to lengthen; exhale to twist.,Intermediate,15,"Twist, balance",Balance,False,0.2,"chest | parivrtta trikonasana | improves | strengthens | legs | mobility | balance | core | spinal | opens | twist, balance | revolved triangle pose | intermediate | mind | calms",https://www.youtube.com/results?search_query=Parivrtta+Trikonasana
30,Parsvakonasana,Side Angle Pose,"From Warrior II, rest front forearm on front thigh or hand on floor. Extend other arm over head in line with your body.","Stretches sides of torso; strengthens legs, hips and ankles; opens chest.",Shoulder or hip injuries.,Inhale to open; exhale to deepen.,Beginner,20,"Side stretch, strength",Flexibility,True,0.3,"chest | beginner | side stretch, strength | stretches | strengthens | legs | parsvakonasana | ankles | flexibility | opens | side angle pose | torso | sides | hips",https://www.youtube.com/results?search_query=Parsvakonasana
31,Parsvottanasana,Intense Side Stretch Pose,"Stand with one foot forward, hips squared. Fold forward over front leg, hands on floor or in prayer behind back.","Stretches hamstrings, hips, and spine; strengthens legs; calms the mind.",Back or hamstring injuries.,Inhale to lengthen; exhale to fold.,Beginner,20,"Hamstring stretch, forward bend",Flexibility,True,0.3,"beginner | hamstrings | parsvottanasana | stretches | strengthens | legs | flexibility | spine | mind | hips | hamstring stretch, forward bend | intense side stretch pose | calms",https://www.youtube.com/results?search_query=Parsvottanasana
32,Paschimottanasana,Seated Forward Bend,"Sit with legs extended. Inhale to lengthen spine, exhale and hinge forward from hips reaching for feet.",Stretches entire posterior chain; calms the nervous system; relieves stress; stimulates kidneys.,Back or hamstring injuries.,Inhale to lengthen; exhale to fold.,Beginner,30,"Full body stretch, forward bend",Flexibility,True,0.5,"beginner | relieves | stretches | posterior | stress | flexibility | full body stretch, forward bend | stimulates | calms | seated forward bend | entire | nervous | system | paschimottanasana | chain",https://www.youtube.com/results?search_query=Paschimottanasana
33,Phalakasana,Plank Pose,"Come into a push-up position with wrists under shoulders, body straight from head to heels. Engage core and hold.","Strengthens core, arms, shoulders, and legs; improves posture and body alignment.",Wrist or shoulder injuries.,Breathe steadily.,Beginner,30,"Core strength, full body",Core,True,0.5,"beginner | core strength, full body | improves | strengthens | legs | body | posture | alignment | phalakasana | core | plank pose | arms | shoulders",https://www.youtube.com/results?search_query=Phalakasana
34,Eka Pada Rajakapotasana,Pigeon Pose,"From Downward Dog, bring one knee forward behind the wrist. Lower hips. Fold forward for a restorative stretch.","Deeply stretches hip flexors, piriformis, and glutes; opens groin; relieves tension from sitting.",Knee or hip injuries.,Breathe deeply and slowly.,Intermediate,60,"Hip opening, deep stretch",Flexibility,False,1.0,"deeply | relieves | stretches | piriformis | tension | flexibility | opens | groin | pigeon pose | flexors | glutes | from | eka pada rajakapotasana | intermediate | hip opening, deep stretch",https://www.youtube.com/results?search_query=Eka+Pada+Rajakapotasana
35,Prasarita Padottanasana,Wide-Legged Forward Bend,"Stand with feet wide apart, toes slightly in. Fold forward, placing hands between feet, crown toward the floor.","Stretches inner thighs, hamstrings, and spine; strengthens feet and legs; calms the mind.",Low back pain.,Inhale to lengthen; exhale to fold.,Beginner,30,"Flexibility, forward bend",Flexibility,True,0.5,"inner | beginner | hamstrings | stretches | strengthens | legs | flexibility | thighs | feet | calms | wide-legged forward bend | spine | prasarita padottanasana | mind | flexibility, forward bend",https://www.youtube.com/results?search_query=Prasarita+Padottanasana
36,Malasana Variation,Squatting Pose,"Deep squat with feet hip-width, toes out. Hands in prayer at chest. Gently open knees with elbows.",Strengthens and opens hips; stretches back; aids digestion and elimination.,Knee injuries.,Breathe deeply.,Beginner,30,"Hip opening, squat",Flexibility,True,0.5,"beginner | aids | stretches | strengthens | back | flexibility | malasana variation | opens | elimination | hips | digestion | hip opening, squat | squatting pose",https://www.youtube.com/results?search_query=Malasana+Variation
37,Salabhasana,Locust Pose,"Lie prone with arms by sides. Inhale and lift chest, head, arms, and legs simultaneously off the floor.",Strengthens entire back body; opens chest; improves posture; stimulates abdominal organs.,"Back injury, neck injury.",Inhale to lift; exhale to hold.,Beginner,15,"Back strength, core",Core,True,0.2,"chest | beginner | salabhasana | abdominal | improves | strengthens | body | posture | locust pose | back | core | opens | stimulates | back strength, core | entire",https://www.youtube.com/results?search_query=Salabhasana
38,Salamba Sarvangasana,Supported Shoulderstand,"Lie on back, lift legs and hips straight up. Support lower back with hands, feet toward ceiling.",Calms the nervous system; stimulates thyroid; improves circulation; relieves fatigue.,"Neck injury, high blood pressure, menstruation (avoid).",Breathe deeply.,Advanced,30,"Inversion, thyroid",Inversion,False,0.5,"supported shoulderstand | relieves | advanced | inversion | improves | thyroid | fatigue | circulation | stimulates | inversion, thyroid | nervous | system | salamba sarvangasana | calms",https://www.youtube.com/results?search_query=Salamba+Sarvangasana
39,Salamba Sirsasana,Supported Headstand,"On forearms with fingers interlaced behind head, lift hips and walk feet in. Kick or press legs up to vertical.",Reverses blood flow; builds arm and core strength; improves focus; stimulates nervous system.,"Neck injury, high blood pressure, glaucoma, menstruation.",Breathe steadily.,Advanced,30,"Inversion, strength",Inversion,False,0.5,"inversion, strength | advanced | inversion | improves | salamba sirsasana | builds | supported headstand | core | stimulates | reverses | blood | strength | nervous | flow | focus",https://www.youtube.com/results?search_query=Salamba+Sirsasana
40,Savasana,Corpse Pose,"Lie flat on back with legs slightly apart, arms by sides palms up. Close eyes and completely relax every muscle.",Deeply relaxes the body and nervous system; reduces stress; integrates practice benefits.,None.,"Natural, effortless breathing.",Beginner,300,"Relaxation, recovery",Meditation,True,5.0,"deeply | beginner | relaxes | integrates | body | stress | benefits | practice | relaxation, recovery | reduces | savasana | meditation | corpse pose | nervous | system",https://www.youtube.com/watch?v=1VYlOKUdylM
41,Setu Bandhasana,Bridge Pose,"Lie on back with knees bent, feet hip-width on floor. Press feet down and lift hips up. Clasp hands under back.","Strengthens glutes, hamstrings, and back; opens chest; stimulates thyroid; relieves back pain.",Neck injury.,Inhale to lift; exhale to hold.,Beginner,20,"Back strength, hip flexors",Flexibility,True,0.3,"chest | beginner | hamstrings | relieves | strengthens | thyroid | back | flexibility | opens | back strength, hip flexors | stimulates | glutes | bridge pose | setu bandhasana",https://www.youtube.com/results?search_query=Setu+Bandhasana
42,Shavasana,Corpse Pose (variation),"Same as Savasana — lie flat, completely still. Used at end of practice for full integration.",Complete physical and mental relaxation; reduces blood pressure; integrates yoga benefits.,None.,"Natural, effortless breathing.",Beginner,300,"Relaxation, meditation",Meditation,True,5.0,"beginner | mental | relaxation | complete | relaxation, meditation | pressure | integrates | shavasana | benefits | yoga | physical | reduces | blood | meditation | corpse pose (variation)",https://www.youtube.com/results?search_query=Shavasana
43,Sukhasana,Easy Pose,"Sit cross-legged with spine tall, hands on knees in a mudra. Natural, comfortable seated position for meditation.",Opens hips; improves posture; calms the mind; excellent meditation and pranayama seat.,Knee or hip injuries (use cushion or blocks).,Breathe naturally and deeply.,Beginner,300,"Meditation, relaxation",Meditation,True,5.0,"beginner | improves | posture | easy pose | excellent | opens | calms | pranayama | meditation | seat | meditation, relaxation | hips | mind | sukhasana",https://www.youtube.com/results?search_query=Sukhasana
44,Supta Padangusthasana,Reclining Hand-to-Big-Toe Pose,"Lie on back, raise one leg up and hold the big toe or use a strap. Keep other leg extended on floor.",Stretches hamstrings and calves; relieves lower back pain; improves circulation in legs.,Hamstring injury.,Inhale to extend; exhale to deepen.,Beginner,30,"Hamstring stretch, recovery",Flexibility,True,0.5,"beginner | reclining hand-to-big-toe pose | hamstrings | calves | stretches | relieves | hamstring stretch, recovery | pain | improves | legs | lower | flexibility | back | circulation | supta padangusthasana",https://www.youtube.com/results?search_query=Supta+Padangusthasana
45,Surya Namaskar,Sun Salutation,"A flowing sequence of 12 poses: Mountain, Arms Up, Forward Fold, Lunge, Plank, Eight Limbs, Cobra, Dog, Lunge, Fold, Arms Up, Mountain.",Full-body warm-up; improves flexibility and strength throughout the body; boosts circulation; energizes the body and mind.,None when done carefully; modify for injuries.,Each movement linked to breath — inhale and exhale alternately.,Beginner,60,"Full body, warm-up, flow",General,True,1.0,"beginner | sun salutation | surya namaskar | full | warm | body | improves | general | flexibility | circulation | throughout | full body, warm-up, flow | strength | boosts",https://www.youtube.com/watch?v=pqF0oZ6F3Hk
46,Sutrasana,Thread the Needle Pose,"From all fours, slide one arm under the other along the floor. Rest shoulder and head down.",Releases tension in shoulders and upper back; gentle spinal rotation; relieves neck stiffness.,Shoulder injuries.,Exhale as you thread the arm.,Beginner,30,"Shoulder relief, gentle twist",General,True,0.5,"beginner | releases | relieves | upper | sutrasana | shoulder relief, gentle twist | general | tension | gentle | back | spinal | rotation | thread the needle pose | neck | shoulders",https://www.youtube.com/results?search_query=Sutrasana
47,Svanasana,Dog Pose,A general term for Downward-Facing Dog or Upward-Facing Dog. Typically refers to Adho Mukha Svanasana.,Stretches entire body; strengthens arms and legs; calms the mind.,Wrist or shoulder injuries.,Breathe steadily.,Beginner,30,"Full body, stretch",Flexibility,True,0.5,"beginner | stretches | body | strengthens | legs | flexibility | dog pose | arms | svanasana | full body, stretch | mind | entire | calms",https://www.youtube.com/results?search_query=Svanasana
48,Tadasana,Mountain Pose,"Stand with feet together, weight evenly distributed. Arms at sides, spine long, gaze forward. Foundation of all standing poses.","Improves posture and balance; strengthens thighs, knees, and ankles; develops body awareness.",None.,Breathe naturally.,Beginner,30,"Posture, awareness, foundation",General,True,0.5,"beginner | improves | mountain pose | strengthens | body | general | posture | balance | thighs | ankles | develops | posture, awareness, foundation | knees | tadasana | awareness",https://www.youtube.com/watch?v=2HTvZp5rPrg
49,Trikonasana,Triangle Pose,"Stand with feet wide apart. Reach forward arm to shin, block, or floor while extending other arm straight up. Open chest to side.","Stretches hamstrings, hips, and sides of torso; strengthens legs and core; improves balance.",Neck injuries (don't look up).,Inhale to extend; exhale to reach lower.,Beginner,20,"Full body stretch, balance",Balance,True,0.3,"beginner | hamstrings | stretches | improves | strengthens | legs | triangle pose | balance | core | full body stretch, balance | trikonasana | torso | sides | hips",https://www.youtube.com/watch?v=4BsZ3ixYHik
50,Urdhva Mukha Svanasana,Upward-Facing Dog Pose,"Lie prone, place hands by lower chest. Inhale and straighten arms, lifting chest and thighs off the floor.","Strengthens arms, wrists, and spine; opens chest and hip flexors; improves posture.","Back injury, carpal tunnel.",Inhale to lift; exhale to hold.,Beginner,10,"Backbend, chest opening",Backbend,True,0.2,"chest | beginner | urdhva mukha svanasana | improves | strengthens | posture | backbend, chest opening | opens | flexors | spine | arms | wrists | backbend | upward-facing dog pose",https://www.youtube.com/results?search_query=Urdhva+Mukha+Svanasana
51,Ustrasana,Camel Pose,"Kneel with hips over knees. Reach hands back to heels and arch spine, lifting chest up toward the ceiling.",Opens the entire front body; strengthens the back; improves posture; stimulates digestive and nervous systems.,Back or neck injuries.,Inhale to arch; exhale to deepen.,Intermediate,15,"Backbend, chest opening",Backbend,False,0.2,"improves | body | strengthens | posture | camel pose | back | backbend, chest opening | ustrasana | opens | digestive | stimulates | front | backbend | intermediate | entire",https://www.youtube.com/results?search_query=Ustrasana
52,Utthita Hasta Padangusthasana,Extended Hand-to-Big-Toe Pose,"Stand on one leg, extend other leg in front. Hold big toe with same-side hand. Flex and extend the raised leg.",Improves balance and concentration; strengthens standing leg; stretches hamstrings.,"Balance issues, hamstring injury.",Inhale to extend; exhale to balance.,Advanced,15,"Balance, hamstring stretch",Balance,False,0.2,"hamstrings | advanced | extended hand-to-big-toe pose | improves | strengthens | utthita hasta padangusthasana | stretches | balance | concentration | standing | balance, hamstring stretch",https://www.youtube.com/results?search_query=Utthita+Hasta+Padangusthasana
53,Utthita Parsvakonasana,Extended Side Angle Pose,"From Warrior II, extend front arm alongside front ear, palm down. Extend rear arm as well, creating a long side angle.","Strengthens legs; stretches sides of torso, groin, and hamstrings; opens chest.",Shoulder or hip injuries.,Inhale to open; exhale to deepen.,Beginner,20,"Side stretch, strength",Flexibility,True,0.3,"chest | beginner | hamstrings | extended side angle pose | side stretch, strength | stretches | strengthens | legs | flexibility | groin | opens | torso | sides | utthita parsvakonasana",https://www.youtube.com/results?search_query=Utthita+Parsvakonasana
54,Utthita Trikonasana,Extended Triangle Pose,"Wide stance, reach front arm to shin or block, extend top arm upward. Stack hips and open chest.","Stretches hamstrings, groins, and hips; strengthens thighs and back; improves balance.",Neck injuries.,Inhale to extend; exhale to open.,Beginner,20,"Full body stretch, stability",Flexibility,True,0.3,"beginner | hamstrings | stretches | full body stretch, stability | strengthens | improves | extended triangle pose | back | flexibility | thighs | groins | balance | utthita trikonasana | hips",https://www.youtube.com/results?search_query=Utthita+Trikonasana
55,Utkatasana,Chair Pose,"From standing, bend knees and sit back as if in a chair. Raise arms overhead. Keep chest lifted.","Strengthens thighs, glutes, and core; improves balance; generates body heat.",Knee or low back injury.,Inhale to raise arms; exhale to sink lower.,Beginner,20,"Leg strength, core",Core,True,0.3,"leg strength, core | beginner | improves | generates | strengthens | body | utkatasana | balance | thighs | core | glutes | chair pose | heat",https://www.youtube.com/results?search_query=Utkatasana
