Condition,Food Item,Recommendation Type,Calories,Protein (g),Fat (g),Carbs (g),Fiber (g),Vitamin C (mg),Calcium (mg),reason,condition_aliases,protein_pct,carb_pct,fat_pct
Heart Disease,Spinach,Consume,23,2.9,0.4,3.6,2.2,28.1,99.0,"Benefits: low calorie, rich in vitamin C","heart disease, cardiac, cardiovascular, coronary, heart health",50.4,62.6,15.7
Heart Disease,High Salt Snacks,Avoid,480,6.0,22.0,65.0,2.0,0.0,20.0,"Concerns: high calorie, high fat","heart disease, cardiac, cardiovascular, coronary, heart health",5.0,54.2,41.2
Heart Disease,Chips,Avoid,536,7.0,35.0,53.0,5.0,0.0,20.0,"Concerns: high calorie, high fat","heart disease, cardiac, cardiovascular, coronary, heart health",5.2,39.6,58.8
Heart Disease,High Salt Snacks,Avoid,480,6.0,22.0,65.0,2.0,0.0,20.0,"Concerns: high calorie, high fat","heart disease, cardiac, cardiovascular, coronary, heart health",5.0,54.2,41.2
Heart Disease,Full-fat Cheese,Avoid,402,25.0,33.0,1.3,0.0,0.0,721.0,"Concerns: high calorie, high fat, no fiber","heart disease, cardiac, cardiovascular, coronary, heart health",24.9,1.3,73.9
Heart Disease,High Salt Snacks,Avoid,480,6.0,22.0,65.0,2.0,0.0,20.0,"Concerns: high calorie, high fat","heart disease, cardiac, cardiovascular, coronary, heart health",5.0,54.2,41.2
Obesity,Green Tea,Consume,2,0.2,0.0,0.5,0.0,0.0,1.0,Benefits: low calorie,"obesity, obese, overweight, weight management",40.0,100.0,0.0
Obesity,Tomatoes,Consume,18,0.9,0.2,3.9,1.2,14.0,10.0,"Benefits: low calorie, rich in vitamin C","obesity, obese, overweight, weight management",20.0,86.7,10.0
Obesity,Carrots,Consume,41,0.9,0.2,9.6,2.8,5.9,33.0,Benefits: low calorie,"obesity, obese, overweight, weight management",8.8,93.7,4.4
Obesity,Walnuts,Consume,654,15.2,65.2,13.7,6.7,1.3,98.0,"Benefits: high fiber, good protein","obesity, obese, overweight, weight management",9.3,8.4,89.7
Obesity,Garlic,Consume,149,6.4,0.5,33.1,2.1,31.2,181.0,"Benefits: good protein, rich in vitamin C, calcium source","obesity, obese, overweight, weight management",17.2,88.9,3.0
Obesity,Fried Food,Avoid,450,5.0,30.0,40.0,1.0,0.0,10.0,"Concerns: high calorie, high fat","obesity, obese, overweight, weight management",4.4,35.6,60.0
Obesity,Alcohol,Avoid,220,0.0,0.0,20.0,0.0,0.0,0.0,Concerns: no fiber,"obesity, obese, overweight, weight management",0.0,36.4,0.0
Obesity,Ice Cream,Avoid,207,3.5,11.0,24.0,0.5,0.5,128.0,Concerns: not recommended for this condition,"obesity, obese, overweight, weight management",6.8,46.4,47.8
Obesity,Fried Food,Avoid,450,5.0,30.0,40.0,1.0,0.0,10.0,"Concerns: high calorie, high fat","obesity, obese, overweight, weight management",4.4,35.6,60.0
Obesity,Butter,Avoid,717,0.9,81.1,0.1,0.0,0.0,24.0,"Concerns: high calorie, high fat, no fiber","obesity, obese, overweight, weight management",0.5,0.1,101.8
Chronic Kidney Disease,Chia Seeds,Consume,486,16.5,30.7,42.1,34.4,1.6,631.0,"Benefits: high fiber, good protein, calcium source",chronic kidney disease,13.6,34.7,56.9
Chronic Kidney Disease,Almonds,Consume,579,21.2,49.9,21.6,12.5,0.0,264.0,"Benefits: high fiber, good protein, calcium source",chronic kidney disease,14.6,14.9,77.6
Chronic Kidney Disease,Tomatoes,Consume,18,0.9,0.2,3.9,1.2,14.0,10.0,"Benefits: low calorie, rich in vitamin C",chronic kidney disease,20.0,86.7,10.0
Chronic Kidney Disease,Carrots,Consume,41,0.9,0.2,9.6,2.8,5.9,33.0,Benefits: low calorie,chronic kidney disease,8.8,93.7,4.4
Chronic Kidney Disease,Greek Yogurt,Consume,59,10.2,0.4,3.6,0.0,0.5,111.0,"Benefits: good protein, low calorie, calcium source",chronic kidney disease,69.2,24.4,6.1
Chronic Kidney Disease,Chips,Avoid,536,7.0,35.0,53.0,5.0,0.0,20.0,"Concerns: high calorie, high fat",chronic kidney disease,5.2,39.6,58.8
Chronic Kidney Disease,Chips,Avoid,536,7.0,35.0,53.0,5.0,0.0,20.0,"Concerns: high calorie, high fat",chronic kidney disease,5.2,39.6,58.8
Chronic Kidney Disease,Alcohol,Avoid,220,0.0,0.0,20.0,0.0,0.0,0.0,Concerns: no fiber,chronic kidney disease,0.0,36.4,0.0
Chronic Kidney Disease,Candy,Avoid,400,0.0,5.0,93.0,0.0,0.0,5.0,"Concerns: high calorie, high refined carbs, no fiber",chronic kidney disease,0.0,93.0,11.2
Chronic Kidney Disease,Chips,Avoid,536,7.0,35.0,53.0,5.0,0.0,20.0,"Concerns: high calorie, high fat",chronic kidney disease,5.2,39.6,58.8
Anemia,Salmon,Consume,208,20.0,13.0,0.0,0.0,3.0,13.0,Benefits: good protein,"anemia, anaemia, iron deficiency, low hemoglobin",38.5,0.0,56.2
Anemia,Apple,Consume,52,0.3,0.2,14.0,2.4,4.6,6.0,Benefits: low calorie,"anemia, anaemia, iron deficiency, low hemoglobin",2.3,107.7,3.5
Anemia,Garlic,Consume,149,6.4,0.5,33.1,2.1,31.2,181.0,"Benefits: good protein, rich in vitamin C, calcium source","anemia, anaemia, iron deficiency, low hemoglobin",17.2,88.9,3.0
Anemia,Sweet Potato,Consume,86,1.6,0.1,20.1,3.0,2.4,30.0,"Benefits: high fiber, low calorie","anemia, anaemia, iron deficiency, low hemoglobin",7.4,93.5,1.0
Anemia,Lentils,Consume,116,9.0,0.4,20.0,7.9,1.5,19.0,"Benefits: high fiber, good protein","anemia, anaemia, iron deficiency, low hemoglobin",31.0,69.0,3.1
Anemia,Candy,Avoid,400,0.0,5.0,93.0,0.0,0.0,5.0,"Concerns: high calorie, high refined carbs, no fiber","anemia, anaemia, iron deficiency, low hemoglobin",0.0,93.0,11.2
Anemia,Processed Meat,Avoid,290,14.0,25.0,3.0,0.0,0.0,10.0,"Concerns: high fat, no fiber","anemia, anaemia, iron deficiency, low hemoglobin",19.3,4.1,77.6
Anemia,Full-fat Cheese,Avoid,402,25.0,33.0,1.3,0.0,0.0,721.0,"Concerns: high calorie, high fat, no fiber","anemia, anaemia, iron deficiency, low hemoglobin",24.9,1.3,73.9
Anemia,Sugary Drinks,Avoid,45,0.0,0.0,11.0,0.0,0.0,0.0,Concerns: no fiber,"anemia, anaemia, iron deficiency, low hemoglobin",0.0,97.8,0.0
Anemia,Alcohol,Avoid,220,0.0,0.0,20.0,0.0,0.0,0.0,Concerns: no fiber,"anemia, anaemia, iron deficiency, low hemoglobin",0.0,36.4,0.0
Osteoporosis,Quinoa,Consume,120,4.4,1.9,21.3,2.8,0.0,17.0,Benefits: nutritional support,osteoporosis,14.7,71.0,14.2
Osteoporosis,Almonds,Consume,579,21.2,49.9,21.6,12.5,0.0,264.0,"Benefits: high fiber, good protein, calcium source",osteoporosis,14.6,14.9,77.6
Osteoporosis,Salmon,Consume,208,20.0,13.0,0.0,0.0,3.0,13.0,Benefits: good protein,osteoporosis,38.5,0.0,56.2
Osteoporosis,Beans,Consume,127,8.7,0.5,22.8,6.4,1.2,50.0,"Benefits: high fiber, good protein",osteoporosis,27.4,71.8,3.5
Osteoporosis,Beans,Consume,127,8.7,0.5,22.8,6.4,1.2,50.0,"Benefits: high fiber, good protein",osteoporosis,27.4,71.8,3.5
Osteoporosis,White Bread,Avoid,265,9.0,3.2,49.0,2.7,0.0,260.0,Concerns: not recommended for this condition,osteoporosis,13.6,74.0,10.9
Osteoporosis,High Salt Snacks,Avoid,480,6.0,22.0,65.0,2.0,0.0,20.0,"Concerns: high calorie, high fat",osteoporosis,5.0,54.2,41.2
Osteoporosis,Butter,Avoid,717,0.9,81.1,0.1,0.0,0.0,24.0,"Concerns: high calorie, high fat, no fiber",osteoporosis,0.5,0.1,101.8
Osteoporosis,Pastries,Avoid,406,6.0,21.0,51.0,1.5,0.0,20.0,"Concerns: high calorie, high fat, high refined carbs",osteoporosis,5.9,50.2,46.6
Osteoporosis,Fried Food,Avoid,450,5.0,30.0,40.0,1.0,0.0,10.0,"Concerns: high calorie, high fat",osteoporosis,4.4,35.6,60.0
Asthma,Spinach,Consume,23,2.9,0.4,3.6,2.2,28.1,99.0,"Benefits: low calorie, rich in vitamin C",asthma,50.4,62.6,15.7
Asthma,Broccoli,Consume,34,2.8,0.4,7.0,2.6,89.2,47.0,"Benefits: low calorie, rich in vitamin C",asthma,32.9,82.4,10.6
Asthma,Brown Rice,Consume,112,2.6,0.9,23.5,1.8,0.0,10.0,Benefits: nutritional support,asthma,9.3,83.9,7.2
Asthma,Almonds,Consume,579,21.2,49.9,21.6,12.5,0.0,264.0,"Benefits: high fiber, good protein, calcium source",asthma,14.6,14.9,77.6
Asthma,Spinach,Consume,23,2.9,0.4,3.6,2.2,28.1,99.0,"Benefits: low calorie, rich in vitamin C",asthma,50.4,62.6,15.7
Asthma,Full-fat Cheese,Avoid,402,25.0,33.0,1.3,0.0,0.0,721.0,"Concerns: high calorie, high fat, no fiber",asthma,24.9,1.3,73.9
Asthma,White Bread,Avoid,265,9.0,3.2,49.0,2.7,0.0,260.0,Concerns: not recommended for this condition,asthma,13.6,74.0,10.9
Asthma,Red Meat,Avoid,250,26.0,15.0,0.0,0.0,0.0,18.0,Concerns: no fiber,asthma,41.6,0.0,54.0
Asthma,Candy,Avoid,400,0.0,5.0,93.0,0.0,0.0,5.0,"Concerns: high calorie, high refined carbs, no fiber",asthma,0.0,93.0,11.2
Asthma,Red Meat,Avoid,250,26.0,15.0,0.0,0.0,0.0,18.0,Concerns: no fiber,asthma,41.6,0.0,54.0
Cancer,Green Tea,Consume,2,0.2,0.0,0.5,0.0,0.0,1.0,Benefits: low calorie,cancer,40.0,100.0,0.0
Cancer,Carrots,Consume,41,0.9,0.2,9.6,2.8,5.9,33.0,Benefits: low calorie,cancer,8.8,93.7,4.4
Cancer,Brown Rice,Consume,112,2.6,0.9,23.5,1.8,0.0,10.0,Benefits: nutritional support,cancer,9.3,83.9,7.2
Cancer,Sweet Potato,Consume,86,1.6,0.1,20.1,3.0,2.4,30.0,"Benefits: high fiber, low calorie",cancer,7.4,93.5,1.0
Cancer,Chia Seeds,Consume,486,16.5,30.7,42.1,34.4,1.6,631.0,"Benefits: high fiber, good protein, calcium source",cancer,13.6,34.7,56.9
Cancer,Processed Meat,Avoid,290,14.0,25.0,3.0,0.0,0.0,10.0,"Concerns: high fat, no fiber",cancer,19.3,4.1,77.6
Cancer,Sugary Drinks,Avoid,45,0.0,0.0,11.0,0.0,0.0,0.0,Concerns: no fiber,cancer,0.0,97.8,0.0
Cancer,Pastries,Avoid,406,6.0,21.0,51.0,1.5,0.0,20.0,"Concerns: high calorie, high fat, high refined carbs",cancer,5.9,50.2,46.6
Cancer,Ice Cream,Avoid,207,3.5,11.0,24.0,0.5,0.5,128.0,Concerns: not recommended for this condition,cancer,6.8,46.4,47.8
Cancer,Pastries,Avoid,406,6.0,21.0,51.0,1.5,0.0,20.0,"Concerns: high calorie, high fat, high refined carbs",cancer,5.9,50.2,46.6
Alzheimer's Disease,Spinach,Consume,23,2.9,0.4,3.6,2.2,28.1,99.0,"Benefits: low calorie, rich in vitamin C",alzheimer's disease,50.4,62.6,15.7
Alzheimer's Disease,Salmon,Consume,208,20.0,13.0,0.0,0.0,3.0,13.0,Benefits: good protein,alzheimer's disease,38.5,0.0,56.2
Alzheimer's Disease,Apple,Consume,52,0.3,0.2,14.0,2.4,4.6,6.0,Benefits: low calorie,alzheimer's disease,2.3,107.7,3.5
Alzheimer's Disease,Blueberries,Consume,57,0.7,0.3,14.5,2.4,9.7,6.0,Benefits: low calorie,alzheimer's disease,4.9,101.8,4.7
Alzheimer's Disease,Spinach,Consume,23,2.9,0.4,3.6,2.2,28.1,99.0,"Benefits: low calorie, rich in vitamin C",alzheimer's disease,50.4,62.6,15.7
Alzheimer's Disease,Fried Food,Avoid,450,5.0,30.0,40.0,1.0,0.0,10.0,"Concerns: high calorie, high fat",alzheimer's disease,4.4,35.6,60.0
Alzheimer's Disease,Ice Cream,Avoid,207,3.5,11.0,24.0,0.5,0.5,128.0,Concerns: not recommended for this condition,alzheimer's disease,6.8,46.4,47.8
Alzheimer's Disease,High Salt Snacks,Avoid,480,6.0,22.0,65.0,2.0,0.0,20.0,"Concerns: high calorie, high fat",alzheimer's disease,5.0,54.2,41.2
Alzheimer's Disease,Candy,Avoid,400,0.0,5.0,93.0,0.0,0.0,5.0,"Concerns: high calorie, high refined carbs, no fiber",alzheimer's disease,0.0,93.0,11.2
Alzheimer's Disease,Full-fat Cheese,Avoid,402,25.0,33.0,1.3,0.0,0.0,721.0,"Concerns: high calorie, high fat, no fiber",alzheimer's disease,24.9,1.3,73.9
Parkinson's Disease,Apple,Consume,52,0.3,0.2,14.0,2.4,4.6,6.0,Benefits: low calorie,parkinson's disease,2.3,107.7,3.5
Parkinson's Disease,Oats,Consume,389,16.9,6.9,66.3,10.6,0.0,54.0,"Benefits: high fiber, good protein",parkinson's disease,17.4,68.2,16.0
Parkinson's Disease,Spinach,Consume,23,2.9,0.4,3.6,2.2,28.1,99.0,"Benefits: low calorie, rich in vitamin C",parkinson's disease,50.4,62.6,15.7
Parkinson's Disease,Quinoa,Consume,120,4.4,1.9,21.3,2.8,0.0,17.0,Benefits: nutritional support,parkinson's disease,14.7,71.0,14.2
Parkinson's Disease,Blueberries,Consume,57,0.7,0.3,14.5,2.4,9.7,6.0,Benefits: low calorie,parkinson's disease,4.9,101.8,4.7
Parkinson's Disease,White Bread,Avoid,265,9.0,3.2,49.0,2.7,0.0,260.0,Concerns: not recommended for this condition,parkinson's disease,13.6,74.0,10.9
Parkinson's Disease,Chips,Avoid,536,7.0,35.0,53.0,5.0,0.0,20.0,"Concerns: high calorie, high fat",parkinson's disease,5.2,39.6,58.8
Parkinson's Disease,Red Meat,Avoid,250,26.0,15.0,0.0,0.0,0.0,18.0,Concerns: no fiber,parkinson's disease,41.6,0.0,54.0
Parkinson's Disease,Fried Food,Avoid,450,5.0,30.0,40.0,1.0,0.0,10.0,"Concerns: high calorie, high fat",parkinson's disease,4.4,35.6,60.0
Parkinson's Disease,Pastries,Avoid,406,6.0,21.0,51.0,1.5,0.0,20.0,"Concerns: high calorie, high fat, high refined carbs",parkinson's disease,5.9,50.2,46.6
Stroke,Green Tea,Consume,2,0.2,0.0,0.5,0.0,0.0,1.0,Benefits: low calorie,stroke,40.0,100.0,0.0
Stroke,Carrots,Consume,41,0.9,0.2,9.6,2.8,5.9,33.0,Benefits: low calorie,stroke,8.8,93.7,4.4
Stroke,Oats,Consume,389,16.9,6.9,66.3,10.6,0.0,54.0,"Benefits: high fiber, good protein",stroke,17.4,68.2,16.0
Stroke,Broccoli,Consume,34,2.8,0.4,7.0,2.6,89.2,47.0,"Benefits: low calorie, rich in vitamin C",stroke,32.9,82.4,10.6
Stroke,Oats,Consume,389,16.9,6.9,66.3,10.6,0.0,54.0,"Benefits: high fiber, good protein",stroke,17.4,68.2,16.0
Stroke,Ice Cream,Avoid,207,3.5,11.0,24.0,0.5,0.5,128.0,Concerns: not recommended for this condition,stroke,6.8,46.4,47.8
Stroke,Ice Cream,Avoid,207,3.5,11.0,24.0,0.5,0.5,128.0,Concerns: not recommended for this condition,stroke,6.8,46.4,47.8
Stroke,Ice Cream,Avoid,207,3.5,11.0,24.0,0.5,0.5,128.0,Concerns: not recommended for this condition,stroke,6.8,46.4,47.8
Stroke,Refined Flour Products,Avoid,364,10.0,1.0,76.0,2.7,0.0,15.0,Concerns: high calorie,stroke,11.0,83.5,2.5
Stroke,Soda,Avoid,41,0.0,0.0,10.6,0.0,0.0,0.0,Concerns: no fiber,stroke,0.0,103.4,0.0
High Cholesterol,Garlic,Consume,149,6.4,0.5,33.1,2.1,31.2,181.0,"Benefits: good protein, rich in vitamin C, calcium source","cholesterol, high cholesterol, ldl, hdl, lipids",17.2,88.9,3.0
High Cholesterol,Greek Yogurt,Consume,59,10.2,0.4,3.6,0.0,0.5,111.0,"Benefits: good protein, low calorie, calcium source","cholesterol, high cholesterol, ldl, hdl, lipids",69.2,24.4,6.1
High Cholesterol,Greek Yogurt,Consume,59,10.2,0.4,3.6,0.0,0.5,111.0,"Benefits: good protein, low calorie, calcium source","cholesterol, high cholesterol, ldl, hdl, lipids",69.2,24.4,6.1
High Cholesterol,Carrots,Consume,41,0.9,0.2,9.6,2.8,5.9,33.0,Benefits: low calorie,"cholesterol, high cholesterol, ldl, hdl, lipids",8.8,93.7,4.4
High Cholesterol,Brown Rice,Consume,112,2.6,0.9,23.5,1.8,0.0,10.0,Benefits: nutritional support,"cholesterol, high cholesterol, ldl, hdl, lipids",9.3,83.9,7.2
High Cholesterol,Soda,Avoid,41,0.0,0.0,10.6,0.0,0.0,0.0,Concerns: no fiber,"cholesterol, high cholesterol, ldl, hdl, lipids",0.0,103.4,0.0
High Cholesterol,White Bread,Avoid,265,9.0,3.2,49.0,2.7,0.0,260.0,Concerns: not recommended for this condition,"cholesterol, high cholesterol, ldl, hdl, lipids",13.6,74.0,10.9
High Cholesterol,Candy,Avoid,400,0.0,5.0,93.0,0.0,0.0,5.0,"Concerns: high calorie, high refined carbs, no fiber","cholesterol, high cholesterol, ldl, hdl, lipids",0.0,93.0,11.2
High Cholesterol,High Salt Snacks,Avoid,480,6.0,22.0,65.0,2.0,0.0,20.0,"Concerns: high calorie, high fat","cholesterol, high cholesterol, ldl, hdl, lipids",5.0,54.2,41.2
High Cholesterol,Pastries,Avoid,406,6.0,21.0,51.0,1.5,0.0,20.0,"Concerns: high calorie, high fat, high refined carbs","cholesterol, high cholesterol, ldl, hdl, lipids",5.9,50.2,46.6
Celiac Disease,Apple,Consume,52,0.3,0.2,14.0,2.4,4.6,6.0,Benefits: low calorie,celiac disease,2.3,107.7,3.5
Celiac Disease,Greek Yogurt,Consume,59,10.2,0.4,3.6,0.0,0.5,111.0,"Benefits: good protein, low calorie, calcium source",celiac disease,69.2,24.4,6.1
Celiac Disease,Salmon,Consume,208,20.0,13.0,0.0,0.0,3.0,13.0,Benefits: good protein,celiac disease,38.5,0.0,56.2
Celiac Disease,Greek Yogurt,Consume,59,10.2,0.4,3.6,0.0,0.5,111.0,"Benefits: good protein, low calorie, calcium source",celiac disease,69.2,24.4,6.1
Celiac Disease,Spinach,Consume,23,2.9,0.4,3.6,2.2,28.1,99.0,"Benefits: low calorie, rich in vitamin C",celiac disease,50.4,62.6,15.7
Celiac Disease,Red Meat,Avoid,250,26.0,15.0,0.0,0.0,0.0,18.0,Concerns: no fiber,celiac disease,41.6,0.0,54.0
Celiac Disease,Butter,Avoid,717,0.9,81.1,0.1,0.0,0.0,24.0,"Concerns: high calorie, high fat, no fiber",celiac disease,0.5,0.1,101.8
Celiac Disease,Candy,Avoid,400,0.0,5.0,93.0,0.0,0.0,5.0,"Concerns: high calorie, high refined carbs, no fiber",celiac disease,0.0,93.0,11.2
Celiac Disease,High Salt Snacks,Avoid,480,6.0,22.0,65.0,2.0,0.0,20.0,"Concerns: high calorie, high fat",celiac disease,5.0,54.2,41.2
Celiac Disease,Pastries,Avoid,406,6.0,21.0,51.0,1.5,0.0,20.0,"Concerns: high calorie, high fat, high refined carbs",celiac disease,5.9,50.2,46.6
Liver Disease,Broccoli,Consume,34,2.8,0.4,7.0,2.6,89.2,47.0,"Benefits: low calorie, rich in vitamin C",liver disease,32.9,82.4,10.6
Liver Disease,Blueberries,Consume,57,0.7,0.3,14.5,2.4,9.7,6.0,Benefits: low calorie,liver disease,4.9,101.8,4.7
Liver Disease,Beans,Consume,127,8.7,0.5,22.8,6.4,1.2,50.0,"Benefits: high fiber, good protein",liver disease,27.4,71.8,3.5
Liver Disease,Spinach,Consume,23,2.9,0.4,3.6,2.2,28.1,99.0,"Benefits: low calorie, rich in vitamin C",liver disease,50.4,62.6,15.7
Liver Disease,Walnuts,Consume,654,15.2,65.2,13.7,6.7,1.3,98.0,"Benefits: high fiber, good protein",liver disease,9.3,8.4,89.7
Liver Disease,Ice Cream,Avoid,207,3.5,11.0,24.0,0.5,0.5,128.0,Concerns: not recommended for this condition,liver disease,6.8,46.4,47.8
Liver Disease,Sugary Drinks,Avoid,45,0.0,0.0,11.0,0.0,0.0,0.0,Concerns: no fiber,liver disease,0.0,97.8,0.0
Liver Disease,Pastries,Avoid,406,6.0,21.0,51.0,1.5,0.0,20.0,"Concerns: high calorie, high fat, high refined carbs",liver disease,5.9,50.2,46.6
Liver Disease,Red Meat,Avoid,250,26.0,15.0,0.0,0.0,0.0,18.0,Concerns: no fiber,liver disease,41.6,0.0,54.0
Liver Disease,High Salt Snacks,Avoid,480,6.0,22.0,65.0,2.0,0.0,20.0,"Concerns: high calorie, high fat",liver disease,5.0,54.2,41.2
Gout,Almonds,Consume,579,21.2,49.9,21.6,12.5,0.0,264.0,"Benefits: high fiber, good protein, calcium source",gout,14.6,14.9,77.6
Gout,Garlic,Consume,149,6.4,0.5,33.1,2.1,31.2,181.0,"Benefits: good protein, rich in vitamin C, calcium source",gout,17.2,88.9,3.0
Gout,Blueberries,Consume,57,0.7,0.3,14.5,2.4,9.7,6.0,Benefits: low calorie,gout,4.9,101.8,4.7
Gout,Chia Seeds,Consume,486,16.5,30.7,42.1,34.4,1.6,631.0,"Benefits: high fiber, good protein, calcium source",gout,13.6,34.7,56.9
Gout,Apple,Consume,52,0.3,0.2,14.0,2.4,4.6,6.0,Benefits: low calorie,gout,2.3,107.7,3.5
Gout,Candy,Avoid,400,0.0,5.0,93.0,0.0,0.0,5.0,"Concerns: high calorie, high refined carbs, no fiber",gout,0.0,93.0,11.2
Gout,High Salt Snacks,Avoid,480,6.0,22.0,65.0,2.0,0.0,20.0,"Concerns: high calorie, high fat",gout,5.0,54.2,41.2
Gout,Red Meat,Avoid,250,26.0,15.0,0.0,0.0,0.0,18.0,Concerns: no fiber,gout,41.6,0.0,54.0
Gout,High Salt Snacks,Avoid,480,6.0,22.0,65.0,2.0,0.0,20.0,"Concerns: high calorie, high fat",gout,5.0,54.2,41.2
Gout,Soda,Avoid,41,0.0,0.0,10.6,0.0,0.0,0.0,Concerns: no fiber,gout,0.0,103.4,0.0
Rheumatoid Arthritis,Apple,Consume,52,0.3,0.2,14.0,2.4,4.6,6.0,Benefits: low calorie,rheumatoid arthritis,2.3,107.7,3.5
Rheumatoid Arthritis,Almonds,Consume,579,21.2,49.9,21.6,12.5,0.0,264.0,"Benefits: high fiber, good protein, calcium source",rheumatoid arthritis,14.6,14.9,77.6
Rheumatoid Arthritis,Salmon,Consume,208,20.0,13.0,0.0,0.0,3.0,13.0,Benefits: good protein,rheumatoid arthritis,38.5,0.0,56.2
Rheumatoid Arthritis,Chia Seeds,Consume,486,16.5,30.7,42.1,34.4,1.6,631.0,"Benefits: high fiber, good protein, calcium source",rheumatoid arthritis,13.6,34.7,56.9
